player_name,clean_name,role,matches,goals,assists,avg_vote
Biraghi,biraghi,D,14,0.0,0.0,5.68
Lazaro,lazaro,D,31,0.0,2.0,5.71
Pedersen,pedersen,D,29,1.0,2.0,5.84
Coco,coco,D,35,1.0,1.0,5.84
Tameze,tameze,C,24,0.0,0.0,5.75
Vlasic,vlasic,C,37,3.0,3.0,6.03
Casadei,casadei,C,33,6.0,0.0,5.97
Ilkhan,ilkhan,C,19,1.0,2.0,5.84
Gineitis,gineitis,C,29,0.0,1.0,5.88
Anjorin,anjorin,C,15,0.0,0.0,5.87
Simeone,simeone,A,32,11.0,0.0,6.08
Ngonge,ngonge,A,20,1.0,1.0,5.85
Adams C.,adams c,A,33,6.0,3.0,5.98
Aboukhlal,aboukhlal,A,15,0.0,0.0,5.83
Baroni,baroni,ALL,26,0.0,0.0,5.65
Sava,sava,P,7,0.0,0.0,5.57
Kamara H.,kamara h,D,26,0.0,2.0,5.88
Bertola,bertola,D,28,0.0,1.0,5.88
Ehizibue,ehizibue,D,32,2.0,0.0,5.86
Zemura,zemura,D,17,0.0,0.0,5.88
Kristensen T.,kristensen t,D,28,3.0,0.0,5.98
Solet,solet,D,35,2.0,1.0,6.17
Lovric,lovric,C,14,0.0,1.0,5.82
Zarraga,zarraga,C,24,0.0,0.0,5.9
Karlstrom,karlstrom,C,36,1.0,0.0,5.96
Atta,atta,C,32,5.0,3.0,6.36
Piotrowski,piotrowski,C,33,1.0,0.0,5.89
Davis K.,davis k,A,30,6.0,4.0,6.32
Bravo,bravo,A,8,1.0,0.0,6.0
Bayo V.,bayo v,A,15,0.0,1.0,5.8
Runjaic,runjaic,ALL,38,0.0,0.0,6.18
Montipò,montipo,P,35,0.0,1.0,6.2
Bradaric,bradaric,D,29,0.0,2.0,5.81
Ebosse,ebosse,D,17,0.0,1.0,5.76
Frese,frese,D,31,2.0,0.0,5.84
Unai Nunez,unai nunez,D,17,0.0,0.0,5.85
Oyegoke,oyegoke,D,15,0.0,0.0,5.87
Nelsson,nelsson,D,38,0.0,0.0,5.68
Belghali,belghali,D,26,2.0,0.0,6.1
Cham,cham,D,6,0.0,0.0,5.58
Niasse,niasse,C,20,0.0,1.0,5.75
Harroui,harroui,C,23,0.0,0.0,5.8
Serdar,serdar,C,20,2.0,0.0,5.97
Bernede,bernede,C,32,1.0,2.0,5.88
Sarr A.,sarr a,A,34,0.0,0.0,5.72
Mosquera,mosquera,A,22,0.0,2.0,5.98
